date,contrib_count
2022-10-16,21.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,13.0
2022-10-21,15.0
2022-10-22,12.0
2022-10-23,6.0
2022-10-24,4.0
2022-10-25,13.0
2022-10-26,7.0
2022-10-27,1.0
2022-10-28,13.0
2022-10-29,13.0
2022-10-30,11.0
2022-10-31,13.0
2022-11-01,13.0
2022-11-02,12.0
2022-11-03,12.0
2022-11-04,10.0
2022-11-05,14.0
2022-11-06,12.0
2022-11-07,12.0
2022-11-08,12.0
2022-11-09,11.0
2022-11-10,12.0
2022-11-11,13.0
2022-11-12,11.0
2022-11-13,13.0
2022-11-14,11.0
2022-11-15,11.0
2022-11-16,11.0
2022-11-17,11.0
2022-11-18,11.0
2022-11-19,11.0
2022-11-20,11.0
